Title,Date,Review,Hotel_Name,X,Y
Обычно!,ก.พ.2016,"Прогуливались вечером, и решили погулять не вдоль дороги. Наткнулись на этот бар. Взяли 2 фреша, расценки средние, не дороже придорожных кафе. Еду не брали, не были голодны. Обстановка спокойная и вполне приятная. Фреши оказались как и везде, вкусные))",2fortheroadหาดจอมเทยนไทย,12.89398,100.87397
Обычный бар,ก.พ.2016,"Бар в который заходил пару раз. Ничего особенного, чинно и спокойно. особого веселья тут не было, кухня без изысков.",2fortheroadหาดจอมเทยนไทย,12.89398,100.87397
Тихое место,ก.พ.2016,"Тихий и спокойный бар. Находится немного вдалеке от основной дороги, поэтому тут нет толп людей вечером приятно посидеть с бутылочкой пива.",2fortheroadหาดจอมเทยนไทย,12.89398,100.87397
Nice place,ม.ค.2016,"First drink here, charming comfortable place, haven't been here in the evening yet. Didn't have any Chang beer but had a very nice singha instead.",2fortheroadหาดจอมเทยนไทย,12.89398,100.87397
Friendly and Relaxing Atmosphere,ก.ย.2014,"I have visited ""2 for the road"" several times now during my visits to the Jomtien area. I have always found the staff & management, courteous, knowledgable of the area, great to deal with. Service is always good and the atmosphere is very comfortable and relaxing.
The facility is clean and well looked after and they have a very good selection of cocktails and beverages to serve.
One of my favourite places to stop at in the Jomtien area.",2fortheroadหาดจอมเทยนไทย,12.89398,100.87397
Bar tres sympathique.,None,"Un bar convivial et vraiment agreable.
Les cocktails sont excellents et le service parfait. Il ont du tres bon cafe egalement.
Ils louent moto et velo. C est pratique car le bar se trouve a 60 metres de la plage",2fortheroadหาดจอมเทยนไทย,12.89398,100.87397
Un bar sympa et convivial,ส.ค.2014,"Tres bien place dans le coeur de jomtien beach.
le 2 for the road passe de la tres bonne music et autres videos.
la barman tres sympathique realise de tres bons cocktails.
la clientele est internationale.
L ambiance est vraiment agreable",2fortheroadหาดจอมเทยนไทย,12.89398,100.87397
Обычно!,ก.พ.2016,"Прогуливались вечером, и решили погулять не вдоль дороги. Наткнулись на этот бар. Взяли 2 фреша, расценки средние, не дороже придорожных кафе. Еду не брали, не были голодны. Обстановка спокойная и вполне приятная. Фреши оказались как и везде, вкусные))",2fortheroadหาดจอมเทยนไทย,12.89398,100.87397
Обычный бар,ก.พ.2016,"Бар в который заходил пару раз. Ничего особенного, чинно и спокойно. особого веселья тут не было, кухня без изысков.",2fortheroadหาดจอมเทยนไทย,12.89398,100.87397
Тихое место,ก.พ.2016,"Тихий и спокойный бар. Находится немного вдалеке от основной дороги, поэтому тут нет толп людей вечером приятно посидеть с бутылочкой пива.",2fortheroadหาดจอมเทยนไทย,12.89398,100.87397
