,Review,Rating,Hotel_Name,Cleaned_Review,polarity
0,I really love quite friendly Hostel - wonderful hidden Gem beaten path makes feel staying authentic old Thai neighborhood away hustle bustle. You greeted welcoming staff refreshing glass Butterfly Pea Tea - ancient Thai Herbal plant extremely thirst quenching,50,HIDE BANGKOK HOSTEL,i realli love quit friendli hostel - wonder hidden gem beaten path make feel stay authent old thai neighborhood away hustl bustle. you greet welcom staff refresh glass butterfli pea tea - ancient thai herbal plant extrem thirst quench,"{'neg': 0.066, 'neu': 0.78, 'pos': 0.154, 'compound': 0.5719}"
1, relaxing healthy. The rooms spacious,50,HIDE BANGKOK HOSTEL,relax healthy. the room spaciou,"{'neg': 0.0, 'neu': 0.349, 'pos': 0.651, 'compound': 0.6808}"
2, clean airy lots natural light. They several different dorm private rooms offers refreshing feel privacy - blackout curtains every Pod. Hides bathrooms spacious,50,HIDE BANGKOK HOSTEL,clean airi lot natur light. they sever differ dorm privat room offer refresh feel privaci - blackout curtain everi pod. hide bathroom spaciou,"{'neg': 0.07, 'neu': 0.82, 'pos': 0.111, 'compound': 0.25}"
3, clean modern consistent flow hot water. What I best sleep-in without worrying missing substantial free breakfast offer - clear away guests time enjoy leisure. I enjoy cooking meals I travel Asia excepting guests using kitchen prepare dinner opportunity socializing interesting friendly guests stay @ Hide world. The prices Hide competitive lower Hostels Bangkok Thailand. I highly recommend 5 Star Hide Hostel Bangkok everyone I happy I opportunity experience little piece Paradice Thailand. Spacious rooms · Private bathrooms · Quiet rooms · Private rooms · Good backpackers,50,HIDE BANGKOK HOSTEL,clean modern consist flow hot water. what i best sleep-in without worri miss substanti free breakfast offer - clear away guest time enjoy leisure. i enjoy cook meal i travel asia except guest use kitchen prepar dinner opportun social interest friendli guest stay @ hide world. the price hide competit lower hostel bangkok thailand. i highli recommend 5 star hide hostel bangkok everyon i happi i opportun experi littl piec paradic thailand. spaciou room · privat bathroom · quiet room · privat room · good backpack,"{'neg': 0.077, 'neu': 0.619, 'pos': 0.305, 'compound': 0.9711}"
4,I arrived hostel greated staff welcome drink . The stay hostel amazing. This cleanest hostel I clean tidy. The staff welcoming happy. The guests hostel happy,50,HIDE BANGKOK HOSTEL,i arriv hostel great staff welcom drink . the stay hostel amazing. thi cleanest hostel i clean tidy. the staff welcom happy. the guest hostel happi,"{'neg': 0.0, 'neu': 0.571, 'pos': 0.429, 'compound': 0.936}"
5, welcoming. I made new contacts guests. We book room 3 en-suite,50,HIDE BANGKOK HOSTEL,welcoming. i made new contact guests. we book room 3 en-suit,"{'neg': 0.0, 'neu': 0.734, 'pos': 0.266, 'compound': 0.4404}"
6, room spacious. When There mini bar room experience. The community fridge/ freezer (you required label food/ drink),50,HIDE BANGKOK HOSTEL,room spacious. when there mini bar room experience. the commun fridge/ freezer (you requir label food/ drink),"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
7, sink,50,HIDE BANGKOK HOSTEL,sink,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
8, plates cutlery kitchen. There safe anywhere. BUT plenty CCTV building security belongings. This useful remained belongings I left room safe. There AIR-Condition community sleeping rooms running 8:00- 10:00 day. This applied private rooms. I great hearing,50,HIDE BANGKOK HOSTEL,plate cutleri kitchen. there safe anywhere. but plenti cctv build secur belongings. thi use remain belong i left room safe. there air-condit commun sleep room run 8:00- 10:00 day. thi appli privat rooms. i great hear,"{'neg': 0.0, 'neu': 0.73, 'pos': 0.27, 'compound': 0.9091}"
9, I hear A/C units room anywhere building (even though window,50,HIDE BANGKOK HOSTEL,i hear a/c unit room anywher build (even though window,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
10, room,50,HIDE BANGKOK HOSTEL,room,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
11, rooms differ) The location bit hidden (hint name hostel ). But community around area pointed right direction. I really enjoyed staying I definitely back. See Hide.,50,HIDE BANGKOK HOSTEL,room differ) the locat bit hidden (hint name hostel ). but commun around area point right direction. i realli enjoy stay i definit back. see hide.,"{'neg': 0.072, 'neu': 0.776, 'pos': 0.152, 'compound': 0.5023}"
12,(+) * View: peaceful. It small garden u sit ur friends enjoy breakfast coffee. * Room: It dorms group 6 8 rooms couple triple too. For me,40,HIDE BANGKOK HOSTEL,(+) * view: peaceful. it small garden u sit ur friend enjoy breakfast coffee. * room: it dorm group 6 8 room coupl tripl too. for me,"{'neg': 0.0, 'neu': 0.664, 'pos': 0.336, 'compound': 0.8625}"
13, bed comfortable . They clean ur room every morning. * Facilities: new. They small kitchen refrigerator,40,HIDE BANGKOK HOSTEL,bed comfort . they clean ur room everi morning. * facilities: new. they small kitchen refriger,"{'neg': 0.0, 'neu': 0.698, 'pos': 0.302, 'compound': 0.6369}"
14, microwave washing machine. They prepare sandwiches,40,HIDE BANGKOK HOSTEL,microwav wash machine. they prepar sandwich,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
15, milks,40,HIDE BANGKOK HOSTEL,milk,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
16, tea,40,HIDE BANGKOK HOSTEL,tea,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
17, coffee snacks,40,HIDE BANGKOK HOSTEL,coffe snack,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
18, jams breakfast supper. It s free :+1: * Staff: extremely friendly helpful. They speak English quite well. If I need information,40,HIDE BANGKOK HOSTEL,jam breakfast supper. it s free :+1: * staff: extrem friendli helpful. they speak english quit well. if i need inform,"{'neg': 0.0, 'neu': 0.647, 'pos': 0.353, 'compound': 0.802}"
19, search give recommendations choose. * Place: near 7 eleven,40,HIDE BANGKOK HOSTEL,search give recommend choose. * place: near 7 eleven,"{'neg': 0.0, 'neu': 0.706, 'pos': 0.294, 'compound': 0.3612}"
20, Big C,40,HIDE BANGKOK HOSTEL,big c,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
21, Tesco,40,HIDE BANGKOK HOSTEL,tesco,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
22, FamilyMart,40,HIDE BANGKOK HOSTEL,familymart,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
23,street food market. It takes 10 mins walk hostel BTS. (-) No elevator. U walk 1st floor 5th floor :joy::joy::joy:,40,HIDE BANGKOK HOSTEL,street food market. it take 10 min walk hostel bts. (-) no elevator. u walk 1st floor 5th floor :joy::joy::joy:,"{'neg': 0.109, 'neu': 0.891, 'pos': 0.0, 'compound': -0.296}"
24,The hostel clean. Walking distance BTS 10 mins.,50,HIDE BANGKOK HOSTEL,the hostel clean. walk distanc bt 10 mins.,"{'neg': 0.0, 'neu': 0.722, 'pos': 0.278, 'compound': 0.4019}"
