Water down well drinks,ธ.ค. ค.ศ. 2020 • เดินทางคนเดียว,"The 808 is fine but the candy shop below bar unless your buying beer or a bottle all the well bottles are watered down , especially the vodka and whiskey. This is normal in Thailand but they have gone over board!",808Clubพทยาไทย,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.attraction_review&zoom=15&size=416x722&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=th_TH&center=12.926571,100.873421&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Ffusion_map%2Fv2%2Fattractions-standard.png|scale:2|12.926171,100.872726|12.925980,100.876183|12.927482,100.876144|12.929736,100.877899|12.923857,100.878639&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Ffusion_map%2Fv2%2Fattractions-active-anchor.png|scale:2|12.926571,100.873421&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Ffusion_map%2Fv2%2Frestaurants-standard.png|scale:2|12.927536,100.876404|12.923672,100.873116|12.927078,100.874031|12.928334,100.876518|12.930322,100.878181&map_id=c01884c8146ad115&signature=b5_ESnweYElHfwf-ylNf1QBROqs="
Клуб 808,ม.ค. ค.ศ. 2020 • เดินทางคนเดียว,"Находится на знаменитой Walking street. Играет преимущественно R&B и хип-хоп. Я не поклонник этих направлений, поэтому мне здесь не понравилось",808Clubพทยาไทย,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.attraction_review&zoom=15&size=416x722&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=th_TH&center=12.926571,100.873421&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Ffusion_map%2Fv2%2Fattractions-standard.png|scale:2|12.926171,100.872726|12.925980,100.876183|12.927482,100.876144|12.929736,100.877899|12.923857,100.878639&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Ffusion_map%2Fv2%2Fattractions-active-anchor.png|scale:2|12.926571,100.873421&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Ffusion_map%2Fv2%2Frestaurants-standard.png|scale:2|12.927536,100.876404|12.923672,100.873116|12.927078,100.874031|12.928334,100.876518|12.930322,100.878181&map_id=c01884c8146ad115&signature=b5_ESnweYElHfwf-ylNf1QBROqs="
あまりお勧めできません、入場は自己責任で,พ.ย. ค.ศ. 2019,ウォーキングストリートにある人気クラブ。海外の人気アーティストを招いたイベントも行っているようです。週末金曜日の午前2時頃に入場。場内は満杯状態で、ローカール８割、ファラン１割、残りは日本人を含めた東アジア系といった割合でした。フロア内でシーシャ(水たばこ)を吸えるので、煙が全体に立ち込めています。電子タバコを吸っているローカルも多数いました。シーシャが吸えるパタヤのおすすめクラブとして度々登場する８０８ですが、シーシャも電子タバコもパタヤでは禁止されています。ポリスの手入れがあった場合、トラブルに巻き込まれることもあるので注意が必要です。,808Clubพทยาไทย,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.attraction_review&zoom=15&size=416x722&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=th_TH&center=12.926571,100.873421&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Ffusion_map%2Fv2%2Fattractions-standard.png|scale:2|12.926171,100.872726|12.925980,100.876183|12.927482,100.876144|12.929736,100.877899|12.923857,100.878639&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Ffusion_map%2Fv2%2Fattractions-active-anchor.png|scale:2|12.926571,100.873421&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Ffusion_map%2Fv2%2Frestaurants-standard.png|scale:2|12.927536,100.876404|12.923672,100.873116|12.927078,100.874031|12.928334,100.876518|12.930322,100.878181&map_id=c01884c8146ad115&signature=b5_ESnweYElHfwf-ylNf1QBROqs="
Live!!! had a great time,พ.ย. ค.ศ. 2019 • เพื่อนๆ,"This club was live every night that I attended, good DJ, Good atmosphere, reasonable priced drinks, I loved it",808Clubพทยาไทย,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.attraction_review&zoom=15&size=416x722&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=th_TH&center=12.926571,100.873421&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Ffusion_map%2Fv2%2Fattractions-standard.png|scale:2|12.926171,100.872726|12.925980,100.876183|12.927482,100.876144|12.929736,100.877899|12.923857,100.878639&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Ffusion_map%2Fv2%2Fattractions-active-anchor.png|scale:2|12.926571,100.873421&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Ffusion_map%2Fv2%2Frestaurants-standard.png|scale:2|12.927536,100.876404|12.923672,100.873116|12.927078,100.874031|12.928334,100.876518|12.930322,100.878181&map_id=c01884c8146ad115&signature=b5_ESnweYElHfwf-ylNf1QBROqs="
ヒップホップ,มิ.ย. ค.ศ. 2019,ウォーキングストリートにあるナイトクラブで、ヒップポップ系の音楽が大音量で流れていて、結構盛り上がっていました。ただ音楽や雰囲気、客層から好き嫌いがわかれそうな感じの店でした。,808Clubพทยาไทย,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.attraction_review&zoom=15&size=416x722&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=th_TH&center=12.926571,100.873421&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Ffusion_map%2Fv2%2Fattractions-standard.png|scale:2|12.926171,100.872726|12.925980,100.876183|12.927482,100.876144|12.929736,100.877899|12.923857,100.878639&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Ffusion_map%2Fv2%2Fattractions-active-anchor.png|scale:2|12.926571,100.873421&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Ffusion_map%2Fv2%2Frestaurants-standard.png|scale:2|12.927536,100.876404|12.923672,100.873116|12.927078,100.874031|12.928334,100.876518|12.930322,100.878181&map_id=c01884c8146ad115&signature=b5_ESnweYElHfwf-ylNf1QBROqs="
Tourist Trap,ต.ค. ค.ศ. 2019,"As soon as you finish your first drink a ""guard"" will approach you and demand that you buy another. If you don't immediately agree, he will aggressively throw you out. Was there all together less than ten minutes because we ordered shots (and were dumb enough to give a healthy tip). Avoid at all costs.",808Clubพทยาไทย,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.attraction_review&zoom=15&size=416x722&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=th_TH&center=12.926571,100.873421&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Ffusion_map%2Fv2%2Fattractions-standard.png|scale:2|12.926171,100.872726|12.925980,100.876183|12.927482,100.876144|12.929736,100.877899|12.923857,100.878639&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Ffusion_map%2Fv2%2Fattractions-active-anchor.png|scale:2|12.926571,100.873421&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Ffusion_map%2Fv2%2Frestaurants-standard.png|scale:2|12.927536,100.876404|12.923672,100.873116|12.927078,100.874031|12.928334,100.876518|12.930322,100.878181&map_id=c01884c8146ad115&signature=b5_ESnweYElHfwf-ylNf1QBROqs="
Hip hop,ส.ค. ค.ศ. 2019 • คู่รัก,We been to there.hip hop music and many people.have vip and normal people.up to the candy shop bar.have many guard.,808Clubพทยาไทย,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.attraction_review&zoom=15&size=416x722&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=th_TH&center=12.926571,100.873421&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Ffusion_map%2Fv2%2Fattractions-standard.png|scale:2|12.926171,100.872726|12.925980,100.876183|12.927482,100.876144|12.929736,100.877899|12.923857,100.878639&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Ffusion_map%2Fv2%2Fattractions-active-anchor.png|scale:2|12.926571,100.873421&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Ffusion_map%2Fv2%2Frestaurants-standard.png|scale:2|12.927536,100.876404|12.923672,100.873116|12.927078,100.874031|12.928334,100.876518|12.930322,100.878181&map_id=c01884c8146ad115&signature=b5_ESnweYElHfwf-ylNf1QBROqs="
Best club best staff,มิ.ย. ค.ศ. 2019 • เพื่อนๆ,"For me this is my favourite club in Pattaya - security staff are good and the waiting staff are second to none - especially Fon who for me is a 5 star team member.

If you like good Hip Hop and RnB then the dis and MCs will keep you entertained. Nothing bad to say about the place.",808Clubพทยาไทย,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.attraction_review&zoom=15&size=416x722&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=th_TH&center=12.926571,100.873421&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Ffusion_map%2Fv2%2Fattractions-standard.png|scale:2|12.926171,100.872726|12.925980,100.876183|12.927482,100.876144|12.929736,100.877899|12.923857,100.878639&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Ffusion_map%2Fv2%2Fattractions-active-anchor.png|scale:2|12.926571,100.873421&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Ffusion_map%2Fv2%2Frestaurants-standard.png|scale:2|12.927536,100.876404|12.923672,100.873116|12.927078,100.874031|12.928334,100.876518|12.930322,100.878181&map_id=c01884c8146ad115&signature=b5_ESnweYElHfwf-ylNf1QBROqs="
A very good late night venue,พ.ค. ค.ศ. 2019 • คู่รัก,"A vibrant night club with loud Hip Hop music and good range of drinks. Although generally thought of as a 'pick up spot' and there were many single girls and guys about, it is generally a good hassle free night club.

There is a good level of in house security with men being frisked at the entrance and several security personnel on hand to prevent trouble.

We left well after 2 am and it was still going strong!!",808Clubพทยาไทย,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.attraction_review&zoom=15&size=416x722&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=th_TH&center=12.926571,100.873421&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Ffusion_map%2Fv2%2Fattractions-standard.png|scale:2|12.926171,100.872726|12.925980,100.876183|12.927482,100.876144|12.929736,100.877899|12.923857,100.878639&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Ffusion_map%2Fv2%2Fattractions-active-anchor.png|scale:2|12.926571,100.873421&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Ffusion_map%2Fv2%2Frestaurants-standard.png|scale:2|12.927536,100.876404|12.923672,100.873116|12.927078,100.874031|12.928334,100.876518|12.930322,100.878181&map_id=c01884c8146ad115&signature=b5_ESnweYElHfwf-ylNf1QBROqs="
Rejected by security,เม.ย. ค.ศ. 2019 • เดินทางคนเดียว,I've been many times in club 808. I've spent more than 3000 Bht last time and now I was rejected for no reason?? Sick place!!,808Clubพทยาไทย,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop.attraction_review&zoom=15&size=416x722&scale=2&client=gme-tripadvisorinc&format=jpg&sensor=false&language=th_TH&center=12.926571,100.873421&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Ffusion_map%2Fv2%2Fattractions-standard.png|scale:2|12.926171,100.872726|12.925980,100.876183|12.927482,100.876144|12.929736,100.877899|12.923857,100.878639&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Ffusion_map%2Fv2%2Fattractions-active-anchor.png|scale:2|12.926571,100.873421&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2F%2Fimg2%2Fmaps%2Ficons%2Ffusion_map%2Fv2%2Frestaurants-standard.png|scale:2|12.927536,100.876404|12.923672,100.873116|12.927078,100.874031|12.928334,100.876518|12.930322,100.878181&map_id=c01884c8146ad115&signature=b5_ESnweYElHfwf-ylNf1QBROqs="
