,Attraction_Name,Date,X,Y,result
1,2fortheroadหาดจอมเทยนไทย,ก.พ.2016,12.89398,100.87397,"('neu', {'pos': 0.09865828058155247, 'neu': 0.6965728393423399, 'neg': 0.06330526225382316})"
2,2fortheroadหาดจอมเทยนไทย,ก.พ.2016,12.89398,100.87397,"('neu', {'pos': 0.09865828058155247, 'neu': 0.6965728393423399, 'neg': 0.06330526225382316})"
3,2fortheroadหาดจอมเทยนไทย,ก.พ.2016,12.89398,100.87397,"('neu', {'pos': 0.09865828058155247, 'neu': 0.6965728393423399, 'neg': 0.06330526225382316})"
4,2fortheroadหาดจอมเทยนไทย,ม.ค.2016,12.89398,100.87397,"('neu', {'pos': 0.09865828058155247, 'neu': 0.6965728393423399, 'neg': 0.06330526225382316})"
5,2fortheroadหาดจอมเทยนไทย,ก.ย.2014,12.89398,100.87397,"('neu', {'pos': 0.09865828058155247, 'neu': 0.6965728393423399, 'neg': 0.06330526225382316})"
6,2fortheroadหาดจอมเทยนไทย,None,12.89398,100.87397,"('neu', {'pos': 0.09865828058155247, 'neu': 0.6965728393423399, 'neg': 0.06330526225382316})"
7,2fortheroadหาดจอมเทยนไทย,ส.ค.2014,12.89398,100.87397,"('neu', {'pos': 0.09865828058155247, 'neu': 0.6965728393423399, 'neg': 0.06330526225382316})"
8,2fortheroadหาดจอมเทยนไทย,ก.พ.2016,12.89398,100.87397,"('neu', {'pos': 0.09865828058155247, 'neu': 0.6965728393423399, 'neg': 0.06330526225382316})"
9,2fortheroadหาดจอมเทยนไทย,ก.พ.2016,12.89398,100.87397,"('neu', {'pos': 0.09865828058155247, 'neu': 0.6965728393423399, 'neg': 0.06330526225382316})"
10,2fortheroadหาดจอมเทยนไทย,ก.พ.2016,12.89398,100.87397,"('neu', {'pos': 0.09865828058155247, 'neu': 0.6965728393423399, 'neg': 0.06330526225382316})"
11,2fortheroadหาดจอมเทยนไทย,ม.ค.2016,12.89398,100.87397,"('neu', {'pos': 0.09865828058155247, 'neu': 0.6965728393423399, 'neg': 0.06330526225382316})"
12,2fortheroadหาดจอมเทยนไทย,ก.ย.2014,12.89398,100.87397,"('neu', {'pos': 0.09865828058155247, 'neu': 0.6965728393423399, 'neg': 0.06330526225382316})"
13,2fortheroadหาดจอมเทยนไทย,None,12.89398,100.87397,"('neu', {'pos': 0.09865828058155247, 'neu': 0.6965728393423399, 'neg': 0.06330526225382316})"
14,2fortheroadหาดจอมเทยนไทย,ส.ค.2014,12.89398,100.87397,"('neu', {'pos': 0.09865828058155247, 'neu': 0.6965728393423399, 'neg': 0.06330526225382316})"
15,2สกายพทยารอคเกตบอลไทย,พ.ย.2018,12.92471,100.867577,"('neu', {'pos': 0.09865828058155247, 'neu': 0.6965728393423399, 'neg': 0.06330526225382316})"
16,2สกายพทยารอคเกตบอลไทย,ม.ค.2019,12.92471,100.867577,"('neu', {'pos': 0.09865828058155247, 'neu': 0.6965728393423399, 'neg': 0.06330526225382316})"
17,2สกายพทยารอคเกตบอลไทย,ม.ค.2018,12.92471,100.867577,"('neu', {'pos': 0.09865828058155247, 'neu': 0.6965728393423399, 'neg': 0.06330526225382316})"
18,2สกายพทยารอคเกตบอลไทย,พ.ย.2018,12.92471,100.867577,"('neu', {'pos': 0.09865828058155247, 'neu': 0.6965728393423399, 'neg': 0.06330526225382316})"
19,2สกายพทยารอคเกตบอลไทย,ก.ย.2018,12.92471,100.867577,"('neu', {'pos': 0.09865828058155247, 'neu': 0.6965728393423399, 'neg': 0.06330526225382316})"
20,2สกายพทยารอคเกตบอลไทย,ก.ค.2018,12.92471,100.867577,"('neu', {'pos': 0.09865828058155247, 'neu': 0.6965728393423399, 'neg': 0.06330526225382316})"
21,2สกายพทยารอคเกตบอลไทย,มี.ค.2018,12.92471,100.867577,"('neu', {'pos': 0.09865828058155247, 'neu': 0.6965728393423399, 'neg': 0.06330526225382316})"
22,2สกายพทยารอคเกตบอลไทย,ม.ค.2018,12.92471,100.867577,"('neu', {'pos': 0.09865828058155247, 'neu': 0.6965728393423399, 'neg': 0.06330526225382316})"
23,2สกายพทยารอคเกตบอลไทย,ธ.ค.2017,12.92471,100.867577,"('neu', {'pos': 0.09865828058155247, 'neu': 0.6965728393423399, 'neg': 0.06330526225382316})"
24,2สกายพทยารอคเกตบอลไทย,ธ.ค.2017,12.92471,100.867577,"('neu', {'pos': 0.09865828058155247, 'neu': 0.6965728393423399, 'neg': 0.06330526225382316})"
25,313TrainingStudioพทยาไทย,ต.ค.2020,12.93517,100.931686,"('neu', {'pos': 0.14901995582367647, 'neu': 0.3506393531419729, 'neg': 0.23239848892643375})"
26,313TrainingStudioพทยาไทย,ต.ค.2020,12.93517,100.931686,"('pos', {'pos': 0.8660689111296058, 'neu': 0.022663693952233624, 'neg': 0.0828527978737085})"
27,313TrainingStudioพทยาไทย,เม.ย.2018,12.93517,100.931686,"('neg', {'pos': 0.2905026145503174, 'neu': 0.0015272292612088013, 'neg': 0.92297341550992})"
28,313TrainingStudioพทยาไทย,มิ.ย.2017,12.93517,100.931686,"('neu', {'pos': 0.36505403439224365, 'neu': 0.6599533427298684, 'neg': 0.03633088614596135})"
29,313TrainingStudioพทยาไทย,ต.ค.2020,12.93517,100.931686,"('neu', {'pos': 0.14901995582367647, 'neu': 0.3506393531419729, 'neg': 0.23239848892643375})"
