Date,Rating,Title,Review,Hotel_Name,X,Y
 Jan 2020,50,THIS IS A WONDERFUL HOSTEL IN BANGKOK THAT I RECOMMEND TO EVERYONE,"I really love this quite and friendly Hostel - it is a wonderful hidden Gem that is off the beaten path that makes you feel like you are staying in an authentic old Thai neighborhood away from the hustle and bustle. You are greeted by their welcoming staff with a refreshing glass of Butterfly Pea Tea - it is an ancient Thai Herbal plant that is extremely thirst quenching, relaxing and healthy. The rooms are spacious, clean and airy with lots of natural light. They have several different dorm and private rooms that offers a refreshing feel of privacy - having blackout curtains in every Pod. Hides bathrooms are spacious, clean and modern with consistent flow of hot water. What I like best is you can sleep-in without worrying about missing out on the substantial free breakfast they offer - as they do not clear it away until their guests have had time to enjoy it at their leisure. I enjoy cooking my own meals as I travel through Asia and they are very excepting to guests using the kitchen to prepare their dinner while having the opportunity of socializing with the interesting and friendly guests that stay @ Hide from all over the world. The prices at Hide are as competitive and lower than any of the other Hostels in Bangkok Thailand. I highly recommend the 5 Star Hide Hostel Bangkok to everyone and I am so happy that I have had the opportunity to experience this little piece of Paradice in Thailand.  Spacious rooms · Private bathrooms · Quiet rooms · Private rooms · Good for backpackers",HIDE BANGKOK HOSTEL,13.706567,100.596489
 Jul 2019,50,A hostel with a hint of home,"I arrived at the hostel and was greated with the staff and a welcome drink 🍸. The stay at the hostel was amazing. This is cleanest hostel I have been to very clean and tidy. The staff is very welcoming and happy. The other guests at the hostel where very happy, and welcoming. I made new contacts with other guests. We book the room for 3 people with an en-suite, this room was very spacious.    When    There is no mini bar in the room from my experience. The is a community fridge/ freezer (you are required to label your food/ drink), sink, plates and cutlery in the kitchen.    There is no safe anywhere. BUT there is plenty of CCTV in the building for the security of you and your belongings. This was useful for me as it remained me my belongings I left in the room are safe.    There is AIR-Condition in the community sleeping rooms running from 8:00- 10:00 ever day. This is not applied in private rooms. I have great hearing, I could not hear any A/C units from our room or anywhere in the building (even though it was below the window, of our room, rooms may differ)    The location is a bit hidden (hint the name of the hostel 😅). But the community around the area pointed me in the right direction.    I really enjoyed staying here and I will definitely be back.    See you again Hide.",HIDE BANGKOK HOSTEL,13.706567,100.596489
 Jul 2019,40,Nice hostel,"(+)    * View: so peaceful. It has a small garden so u can sit there with ur friends and enjoy breakfast or coffee.    * Room: It has not only dorms for group 6 or 8 people but also rooms for couple or triple too. For me, bed is comfortable 👌. They clean ur room every morning.    * Facilities: all new. They have small kitchen with refrigerator, microwave and washing machine. They prepare some sandwiches, milks, tea, coffee and snacks, jams for breakfast or supper. It' s all free :+1:    * Staff: extremely friendly and helpful. They can speak English quite well. If I need some information, they will search and give me some recommendations to choose.    * Place: near 7 eleven, Big C, Tesco, FamilyMart,street food and market. It takes only 10 mins to walk from hostel to BTS.    (-)    No elevator. U have to walk from 1st floor to 5th floor :joy::joy::joy:",HIDE BANGKOK HOSTEL,13.706567,100.596489
 Feb 2019,50,A bit hidden but great hostel!,"The hostel is very clean. Walking distance from the BTS about 10 mins., which is nice for the traveller. The hostel is a bit hidden in the residential area but it makes nice and quiet during the night time. Overall, I'd highly recommended it!",HIDE BANGKOK HOSTEL,13.706567,100.596489
 Jan 2019,50,Their Video in Youtube is very helpful Love iT!,"I found their video instructions on how to go to hostel by public van number 552 from Suvarnaphum airport  This is very helpful and Cheap price around 40 Bath per seat so convenientThey will drop you at hostel And for this hostel The room is clean, spacious and quiet. Simple breakfast is provided, the owner is very kind and helpful.",HIDE BANGKOK HOSTEL,13.706567,100.596489
 Dec 2018,50,"Very nice, clean hostel. Very friendly and helpful staffs","I stayed in this hostel for 4 days. Really love this hostel. Quite, clean, friendly and green! Very nice. Only 5-min walking to On Nut BTS, theres mall, supermarket, and clothing market as well. The vendor food at the clothing market is very nice",HIDE BANGKOK HOSTEL,13.706567,100.596489
 Aug 2018,50,Homey Atmosphere,"This hostel will let you feel like you are at your own crib! It was raining when we arrived at the hostel. We were welcomed by 2 or 3 ladies with umbrellas and helped us with our luggage. Upon entering the hostel, they have a policy to remove your footwear before entering and we saw everyone inside barefoot (what a cooperation!) We were served a very colorful welcome drink. The ladies are very helpful and you can barely see in their faces that they wanted to engage on a conversation with you, but the language barrier is big hindrance. We were just on the first floor, the location of the room is not up to my preference as it is near the staircase, but it's okay as we are leaving in just couple of hours for a flight. For our midnight snack, we had our food take away and we decided to eat it at their dining table. This is the feeling I liked most, sitting with my partner in a long dining table, we're having our midnight snack and a small talk together. Aside from that, they have a small room with washing machine on it, iron and ironing board, kitchenette, it is good for long staying guests. The most important is that you could leave your luggage for 15 days free of charge while you are about to visit another island in their country! Their location however is not that easy to find, but it's also nice on the other hand as it is away from all the noise you hear during your day trips! Definitely recommendable!",HIDE BANGKOK HOSTEL,13.706567,100.596489
 Jun 2018,50,Cheap and good,"We got the standard double room with shower. The room was spacious and clean. The hostel was clean and the staff were very nice and greeted us with a very warm greeting. The staff was very helpful in letting us know the best way to the nearest BTS (On Nut BTS). According to Google maps, it would require a 10 minutes walk from On Nut BTS to the hostel. With the heat in Bangkok, it was no joke. However, outside of Tesco, there are the motorcycle taxis which can bring you to the hostel for only 10 bhat! Also, when walking out of the hostel there are also motorcycle taxis which can bring you to the BTS station for also 10 bhat. As the hostel is located in a small alley, it might get a little dark at night but it gets very peaceful at night. Totally loved it. They provided free breakfast in the morning with cereal, bread, etc. There are also washing machines and dryers to do your laundry for only 30 bhat. However, the water pressure in the bathroom is a little low. Above all else, a great stay! Will definitely come back again.",HIDE BANGKOK HOSTEL,13.706567,100.596489
 Jun 2018,40,Comfy beds,With great king-size beds and an ensuite it did not feel like a city hostel but it was what we needed after a long flight! Perfect for that jetlag! If you're planning on looking around it's a bit out of the way however there is a train right around the corner with a massive Tesco! :),HIDE BANGKOK HOSTEL,13.706567,100.596489
 May 2018,50,It was great,"We have 6 people and stayed at Hide Bangkok Hostel with private room 6 beds as everyone know when we travel to anywhere we worry about hotel where is cheap and clean and me too. I was lucky i have found this hostel ( hostel but not hostel)it's very clean,quiet and very cheap 3 nights for 6 people cost 4.500Bath receptionist is nice and friendly .My cousin he fall in love with the bed on top :D We were very happy and had a great trip in BKK and we love the food around nearly hostel very good. Thanks for that i will recommend for friends who wants to travel to BKK for this hostel. ( From Vietnam )",HIDE BANGKOK HOSTEL,13.706567,100.596489
